epoch,loss,seconds
1,1.01833439,9.6
2,0.96140849,18.8
3,0.86845831,28.0
4,0.71110372,37.2
5,0.54892172,46.4
6,0.49170691,55.5
7,0.46459322,64.7
8,0.44719317,73.9
9,0.43239070,83.1
10,0.42561969,92.2
11,0.42607449,101.3
12,0.41710439,110.5
13,0.42246097,119.6
14,0.40137044,128.8
15,0.39731092,137.9
16,0.40526407,147.1
17,0.37792468,156.2
18,0.39786308,165.4
19,0.38497594,174.5
20,0.38483232,183.6
21,0.36240271,192.8
22,0.36319427,201.9
23,0.36817688,211.0
24,0.36582274,220.1
25,0.34674348,229.3
26,0.35457947,238.4
27,0.33555086,247.5
28,0.36236464,256.6
29,0.31069595,265.8
30,0.31218293,274.9
31,0.30603669,284.1
32,0.30637774,293.2
33,0.27725791,302.4
34,0.26150819,311.5
35,0.30488156,320.7
36,0.27956277,329.8
37,0.24760980,339.0
38,0.26662982,348.1
39,0.25600811,357.2
40,0.27544104,366.3
41,0.24508105,375.4
42,0.21319597,384.6
43,0.19687619,393.7
44,0.19275859,402.8
45,0.21347779,412.0
46,0.18884361,421.1
47,0.19084134,430.2
48,0.18368743,439.3
49,0.17860331,448.4
50,0.17077246,457.6
51,0.16458532,466.8
52,0.19216158,475.9
53,0.17073317,485.0
54,0.16180654,494.1
55,0.15981260,503.2
56,0.15376184,512.3
57,0.14306176,521.4
58,0.14536462,530.6
59,0.14241183,539.7
60,0.14295381,548.8
61,0.13723413,557.9
62,0.14763479,567.0
63,0.13290229,576.1
64,0.13363508,585.2
65,0.12644993,594.3
66,0.13034744,603.4
67,0.13537536,612.5
68,0.12982125,621.6
69,0.12195731,630.7
70,0.12952840,639.8
71,0.12486705,648.9
72,0.13002752,658.0
73,0.11892350,667.1
74,0.12238151,676.2
75,0.12144366,685.3
76,0.12296338,694.4
77,0.12065227,703.5
78,0.11560521,712.6
79,0.11280632,721.7
80,0.11672833,730.9
81,0.11287691,740.0
82,0.11278487,749.1
83,0.11420471,758.3
84,0.11061651,767.4
85,0.11300175,776.5
86,0.11313222,785.6
87,0.11299929,794.7
88,0.11234263,803.8
89,0.11030714,812.9
90,0.11282801,822.1
91,0.10961667,831.2
92,0.11166193,840.3
93,0.10737048,849.4
94,0.10865648,858.6
95,0.11159406,867.7
96,0.10917388,876.7
97,0.10641181,885.8
98,0.10870606,895.0
99,0.10469747,904.1
100,0.10807279,913.2
101,0.10549714,922.3
102,0.10874837,931.4
103,0.10554888,940.6
104,0.10633234,949.7
105,0.10491347,958.8
106,0.10339372,967.9
107,0.10289793,977.0
108,0.10442185,986.2
109,0.10382112,995.3
