node_id,x_in,y_in,ux_in,uy_in,vm_psi
0,2.22222233,4,0.0133588985,-0.00741202058,26477.0443
1,-0.444444448,4,0.010636095,-0.00807256438,26658.5352
2,-2.22222233,4,0.00884591416,-0.00735890772,26467.4655
3,4,4,0.015191678,-0.00569340494,25557.8965
4,-4,4,0.00701296236,-0.00562154967,25558.5358
5,5.85889292,-3.5418241,0.0173594952,0.00273569277,13769.4536
6,7.29193544,-2.272259,0.0187994167,0.000905511668,5890.83832
7,7.97083569,-0.48214671,0.0193161946,6.2176543e-05,8083.06388
8,7.97083569,0.48214671,0.019316569,-0.00031321618,8116.21379
9,7.29193544,2.272259,0.0187911894,-0.00118507131,5451.38818
10,5.85889292,3.5418241,0.0173503775,-0.00295120967,14176.0296
11,4,-4,0.0151932063,0.00549570331,25557.4993
12,-2.22222233,-4,0.00884739868,0.00729023851,26477.9323
13,0.444444448,-4,0.011570299,0.0079489015,26658.4017
14,2.22222233,-4,0.013360423,0.00723395357,26466.7793
15,-4,-4,0.00701441942,0.00557234092,25559.123
16,-5.85889292,3.5418241,0.00484634144,-0.00286162621,13771.1647
17,-7.29193544,2.272259,0.0034058278,-0.00103158318,5873.28265
18,-7.97083569,0.48214671,0.00288781896,-0.000187427679,8186.70744
19,-7.97083569,-0.48214671,0.00288758543,0.000191186104,8209.30835
20,-7.29193544,-2.272259,0.00341386953,0.00106367853,5432.09249
21,-5.85889292,-3.5418241,0.00485531939,0.00282993377,14179.0921
22,28.0327873,-5,0.021891173,0.000135836162,4997.79785
23,26.0655746,-5,0.0215524994,0.000135792405,4990.20719
24,24.0983601,-5,0.0212146658,0.000135368886,4976.73812
25,22.1311474,-5,0.0208781511,0.000133246314,4960.37028
26,20.1639347,-5,0.0205429196,0.000126469866,4957.79818
27,18.196722,-5,0.020206403,0.000109425302,5030.73926
28,16.2295074,-5,0.0198579859,7.43369383e-05,5348.41276
29,14.2622948,-5,0.0194676239,1.85337485e-05,6271.16113
30,12.2950821,-5,0.0189671125,-3.0982661e-05,8418.77458
31,10.3278685,-5,0.0182354599,4.79154769e-05,12152.2601
32,8.36065578,-5,0.0171407107,0.000605974288,17248.1647
33,6.39344263,-5,0.0156694539,0.00230682106,20779.3001
34,4.42622948,-5,0.0141955419,0.00516403466,22406.7786
35,2.45901632,-5,0.0128446659,0.00731852092,23417.0293
36,-0.491803288,-5,0.0107395183,0.00825709198,25535.9717
37,-2.45901632,-5,0.00935161952,0.00737760682,23415.987
38,-4.42622948,-5,0.00800097268,0.00524546113,22409.2461
39,-6.39344263,-5,0.00652944762,0.00240988797,20820.1719
40,-8.36065578,-5,0.00505632767,0.00073089666,17310.5329
41,-10.3278685,-5,0.00396793615,0.000171620413,12109.7292
42,-12.2950821,-5,0.00323779206,9.31493851e-05,8412.79834
43,-14.2622948,-5,0.00273755239,0.000142719698,6271.58838
44,-16.2295074,-5,0.00234729471,0.000198711001,5346.23145
45,-18.196722,-5,0.00199918984,0.000234332547,5020.46419
46,-20.1639347,-5,0.00166419137,0.000252345548,4923.43522
47,-22.1311474,-5,0.00133324834,0.000259299588,4877.61426
48,-24.0983601,-5,0.00100632617,0.000257075619,4812.02246
49,-26.0655746,-5,0.000686018146,0.000238342545,4743.95426
50,-28.0327873,-5,0.000367245084,0.000179014722,4948.6416
51,30,-5,0.022230221,0.000136040748,4999.85107
52,-30,-5,3.46745377e-33,1.5043422e-33,5974.65967
53,30,3.18181825,0.022229651,-0.000288257696,5000.75212
54,30,1.36363637,0.0222293697,-0.000193983316,5002.97396
55,30,0.454545468,0.0222293083,-0.000146759834,5003.66732
56,30,-1.36363637,0.0222294684,-5.2282674e-05,5003.0083
57,30,-3.18181825,0.0222298875,4.19907374e-05,5000.72852
58,30,5,0.0222298503,-0.00038230911,4999.84521
59,-28.0327873,5,0.00036720041,-0.000178784583,4948.34701
60,-26.0655746,5,0.000685925712,-0.000238299152,4745.53304
61,-24.0983601,5,0.00100621628,-0.000257036183,4812.43913
62,-22.1311474,5,0.0013331786,-0.000259186811,4878.66829
63,-20.1639347,5,0.0016641781,-0.000252259575,4924.06478
64,-18.196722,5,0.00199915911,-0.000234261708,5019.84635
65,-16.2295074,5,0.00234719669,-0.00019843904,5346.80078
66,-14.2622948,5,0.002737612,-0.000142238641,6273.22852
67,-12.2950821,5,0.00323838461,-9.26136709e-05,8423.24105
68,-10.3278685,5,0.00397045864,-0.000171780368,12158.0524
69,-8.36065578,5,0.0050656274,-0.000730669592,17251.5228
70,-6.39344263,5,0.00653683254,-0.00243258523,20776.151
71,-4.42622948,5,0.00801042188,-0.00528998394,22405.4434
72,-2.45901632,5,0.00936108083,-0.00744362781,23416.4512
73,0.491803288,5,0.0114661632,-0.00838004425,25535.894
74,2.45901632,5,0.0128541617,-0.00749925338,23416.6536
75,4.42622948,5,0.0142050544,-0.00536647858,22410.6458
76,6.39344263,5,0.0156769399,-0.00253144768,20822.4525
77,8.36065578,5,0.0171498489,-0.000853641599,17304.082
78,10.3278685,5,0.0182377715,-0.000295124715,12102.1169
79,12.2950821,5,0.0189674236,-0.000216819826,8408.10514
80,14.2622948,5,0.0194674022,-0.000266145886,6269.55143
